Year,Month,Region,Resource,Rate
2022,1,Trivandrum,Oxidised mild steel parliamentary hinges 100x125x27x2.8 mm,324.0
2022,1,Trivandrum,Oxidised mild steel parliamentary hinges 75x100x20x2.24 mm,273.0
2022,1,Trivandrum,Oxidised mild steel single acting spring hinges 150 mm,181.0
2022,1,Trivandrum,Oxidised mild steel single acting spring  hinges 125 mm,160.0
2022,1,Trivandrum,Oxidised mild steel single acting spring  hinges 100 mm,133.0
2022,1,Trivandrum,Oxidised mild steel single acting spring  hinges 150 mm,210.0
2022,1,Trivandrum,Oxidised mild steel single acting spring  hinges 125 mm,183.0
2022,1,Trivandrum,Oxidised mild steel single acting spring  hinges 100 mm,160.0
2022,1,Trivandrum,Nickel plated mild steel piano hinges 1 mm thick 35 mm wide,63.0
2022,1,Trivandrum,Oxidised mild steel sliding door bolt 300x16 mm,132.0
2022,1,Trivandrum,Oxidised mild steel sliding door bolt 250x16 mm,123.0
2022,1,Trivandrum,Oxidised mild steel door latch 300x20x6 mm,67.0
2022,1,Trivandrum,Oxidised mild steel door latch 250x20x6 mm,55.0
2022,1,Trivandrum,Oxidised mild steel tower bolt (barrel type) 250x10mm,63.0
2022,1,Trivandrum,Oxidised mild steel tower bolt (barrel type) 200x10 mm,55.0
2022,1,Trivandrum,Oxidised mild steel tower bolt (barrel type) 150x10 mm,41.0
2022,1,Trivandrum,Oxidised mild steel tower bolt (barrel type) 100x10 mm,37.0
2022,1,Trivandrum,Oxidised mild steel handles 125 mm,27.0
2022,1,Trivandrum,Oxidised mild steel handles 100 mm,23.0
2022,1,Trivandrum,Oxidised mild steel handles 75 mm,23.0
2022,1,Trivandrum,Oxidised mild steel hasps and staples (safety type)150 mm,173.0
2022,1,Trivandrum,Oxidised mild steel hasps and staples (safety type ) 115 mm,147.0
2022,1,Trivandrum,Oxidised mild steel hasps and staples (safety type ) 90 mm,107.0
2022,1,Trivandrum,Oxidised mild steel screws 50 mm,104.0
2022,1,Trivandrum,Oxidised mild steel screws 40 mm,84.0
2022,1,Trivandrum,Oxidised mild steel screws 30 mm,77.0
2022,1,Trivandrum,Oxidised mild steel screws 25 mm,63.0
2022,1,Trivandrum,Oxidised mild steel screws 20 mm,51.0
2022,1,Trivandrum,Anodised Aluminium butt hinges 125x75x4 mm,779.0
2022,1,Trivandrum,Anodised Aluminium butt hinges 125x63x4xmm,725.0
2022,1,Trivandrum,Anodised Aluminium butt hinges 100x75x4 mm,711.0
2022,1,Trivandrum,Anodised Aluminium butt hinges 100x63x3.2 mm,684.0
2022,1,Trivandrum,Anodised Aluminium butt hinges 100x63x4 mm,697.0
2022,1,Trivandrum,Anodised Aluminium butt hinges 75x63x4 mm,684.0
2022,1,Trivandrum,Anodised Aluminium butt hinges 75x63x3.2 mm,642.0
2022,1,Trivandrum,Anodised Aluminium butt hinges 75x45x3.2 mm,533.0
2022,1,Trivandrum,Anodised Aluminium sliding door bolt 300x16 mm,218.0
2022,1,Trivandrum,Anodised Aluminium sliding door bolt 300x16 mm,177.0
2022,1,Trivandrum,Anodised Aluminium tower bolt (barrel type)300x10 mm,1024.0
2022,1,Trivandrum,Anodised Aluminium tower bolt (barrel type) 250 x 10 mm,820.0
2022,1,Trivandrum,Anodised Aluminium tower bolt (barrel type) 200x10 mm,656.0
2022,1,Trivandrum,Anodised Aluminium tower bolt (barrel type) 150x10 mm,519.0
2022,1,Trivandrum,Anodised Aluminium tower bolt (barrel type) 100x10 mm,640.0
2022,1,Trivandrum,Anodised Aluminium handles 125 mm with plate 175 x 32 mm,684.0
2022,1,Trivandrum,Anodised Aluminium handles 100 mm with plate 150 x 32 mm,519.0
2022,1,Trivandrum,Anodised Aluminium handles 75 mm with plate 125 x 32 mm,438.0
2022,1,Trivandrum,Anodised Aluminium kicking plate 50 cm long 100x3.15 mm,177.0
2022,1,Trivandrum,Block board construction flush door with teak wood ply on both faces 35 mm thick,2440.0
2022,1,Trivandrum,Block board construction flush door with teak wood play on both faces 30 mm thick,2170.0
2022,1,Trivandrum,Block board construction flush door with teak wood ply on both faces 25 mm thick,1914.0
2022,1,Trivandrum,Block board construction flush door with commercial ply on both faces,1572.0
2022,1,Trivandrum,Block board construction flush door with commercial ply on both faces 30 mm thick,1366.0
2022,1,Trivandrum,Block board construction flush door with commerciial ply on both faces 25 mm thick,1230.0
